timestamp_ms,phys_footprint,phys_footprint_peak
7786565,9196011520,24696061952
7792451,7913603072,24696061952
7798130,1938817024,24696061952
7804096,2580545536,24696061952
7810028,5409603584,24696061952
7816051,5404360704,24696061952
7821993,5524946944,24696061952
7827977,5525995520,24696061952
7833914,5536481280,24696061952
7839903,5534384128,24696061952
7845870,5531238400,24696061952
7851812,5517606912,24696061952
7857741,5532286976,24696061952
7863799,5394923520,24696061952
7869732,5529141248,24696061952
7875661,5535432704,24696061952
7881650,5536481280,24696061952
7887574,5500829696,24696061952
7893525,5549064192,24696061952
7899544,5539627008,24696061952
7905554,5539627008,24696061952
7911536,5710544896,24696061952
7917500,5530189824,24696061952
7923477,5393874944,24696061952
7929435,5797576704,24696061952
7935413,6631194624,24696061952
7941396,5512364032,24696061952
7947412,5516558336,24696061952
7953367,5518655488,24696061952
7959359,5523898368,24696061952
7965308,5518655488,24696061952
7971233,6235881472,24696061952
7977201,6660554752,24696061952
7983185,5541724160,24696061952
7989200,5469372416,24696061952
7995210,5540675584,24696061952
8001206,5509218304,24696061952
8007161,5534384128,24696061952
8013108,5403312128,24696061952
8019060,5463080960,24696061952
8025000,5500829696,24696061952
8030915,5530189824,24696061952
8036922,5525995520,24696061952
8042912,5475663872,24696061952
8048881,5509218304,24696061952
8054912,5538578432,24696061952
8060853,2523922432,24696061952
8066864,2449473536,24696061952
8072789,2454716416,24696061952
8078690,2452619264,24696061952
8084633,2455764992,24696061952
8090583,2435842048,24696061952
8096549,2851078144,24696061952
8102471,2747269120,24696061952
8108407,2744123392,24696061952
8114384,2742026240,24696061952
8120382,2735734784,24696061952
8126339,2744123392,24696061952
8132292,2749366272,24696061952
8138234,2743074816,24696061952
8144212,2726297600,24696061952
8150145,4394582016,24696061952
8156127,6190792704,24696061952
8162105,5807013888,24696061952
8168070,5531238400,24696061952
8174061,6015680512,24696061952
8180057,6788481024,24696061952
8186081,5513412608,24696061952
8192085,5769265152,24696061952
8198050,6448742400,24696061952
8204052,5886705664,24696061952
8210024,6026166272,24696061952
8216015,5361369088,24696061952
8222001,5216665600,24696061952
8227948,5703204864,24696061952
8233964,7732199424,24696061952
8240003,5316280320,24696061952
8246029,5382340608,24696061952
8251974,6783238144,24696061952
8257949,7212105728,24696061952
8263885,5593104384,24696061952
8269832,7708082176,24696061952
8275795,5299503104,24696061952
8281779,5520752640,24696061952
8287754,6918504448,24696061952
8293735,5491392512,24696061952
8299651,5480906752,24696061952
8305653,5454692352,24696061952
8311634,5492441088,24696061952
8317544,5312086016,24696061952
8323431,5004853248,24696061952
8329322,7313817600,24696061952
8335317,5839519744,24696061952
8341259,4781506560,24696061952
8347226,4007657472,24696061952
8353187,5298454528,24696061952
8359167,3983540224,24696061952
8365119,4131389440,24696061952
8371079,4816109568,24696061952
8377064,4103077888,24696061952
8383117,4484759552,24696061952
8389143,4482662400,24696061952
8395174,5277483008,24696061952
8401192,4271898624,24696061952
8407185,5422186496,24696061952
8413155,4372561920,24696061952
8419184,4400873472,24696061952
8425143,4327473152,24696061952
8431136,4601151488,24696061952
8437153,4612685824,24696061952
8443129,5567938560,24696061952
8449086,4639948800,24696061952
8455157,5592055808,24696061952
8461232,4809818112,24696061952
8467222,4688183296,24696061952
8473225,5955911680,24696061952
8479231,5127536640,24696061952
8485237,5078253568,24696061952
8491299,5268045824,24696061952
8497276,4736417792,24696061952
8503232,4503633920,24696061952
8509184,4621074432,24696061952
8515167,4716494848,24696061952
8521184,4600102912,24696061952
8527208,4609540096,24696061952
8533155,4627365888,24696061952
8539201,5097127936,24696061952
8545225,4559208448,24696061952
8551227,4508876800,24696061952
8557218,4473225216,24696061952
8563226,4523556864,24696061952
8569221,4512022528,24696061952
8575183,4336910336,24696061952
8581165,5213519872,24696061952
8587095,4460642304,24696061952
8593010,4476370944,24696061952
8598983,5963251712,24696061952
8604968,4373610496,24696061952
8610974,4460642304,24696061952
8616928,4390387712,24696061952
8622958,4875878400,24696061952
8628966,4300210176,24696061952
8634955,2970615808,24696061952
8640947,2888826880,24696061952
8646908,2934964224,24696061952
8652891,2875195392,24696061952
8658787,2838495232,24696061952
8664708,2963275776,24696061952
8670657,2885681152,24696061952
8676595,2940207104,24696061952
8682570,2873098240,24696061952
8688513,2910846976,24696061952
8694508,2893021184,24696061952
8700520,2895118336,24696061952
8706440,2890924032,24696061952
8712478,2856321024,24696061952
8718484,2895118336,24696061952
8724428,2895118336,24696061952
8730406,2894069760,24696061952
8736383,2871001088,24696061952
8742368,2943352832,24696061952
8748331,2990538752,24696061952
8754306,2907701248,24696061952
8760262,2901409792,24696061952
8766247,2998927360,24696061952
8772211,2987393024,24696061952
8778219,2879389696,24696061952
8784236,2894069760,24696061952
8790202,3012558848,24696061952
8796210,3084910592,24696061952
8802185,2905604096,24696061952
8808170,3017801728,24696061952
8814221,3028287488,24696061952
8820182,2936012800,24696061952
8826167,3026190336,24696061952
8832168,3006267392,24696061952
8838143,2972712960,24696061952
8844220,2936012800,24696061952
8850230,3010461696,24696061952
8856205,3012558848,24696061952
8862180,2958032896,24696061952
8868153,2908749824,24696061952
8874148,3028287488,24696061952
8880118,3017801728,24696061952
8886110,2972712960,24696061952
8892111,2926575616,24696061952
8898103,3099590656,24696061952
8904060,3081764864,24696061952
8910084,2896166912,24696061952
8916038,2928672768,24696061952
8922065,2943352832,24696061952
8928055,2938109952,24696061952
8934063,2942304256,24696061952
8940108,2972712960,24696061952
8946156,2979004416,24696061952
8952207,2959081472,24696061952
8958223,2953838592,24696061952
8964309,2970615808,24696061952
8970338,2907701248,24696061952
8976367,2908749824,24696061952
8982417,2908749824,24696061952
8988448,2909798400,24696061952
8994466,2909798400,24696061952
9000515,2923429888,24696061952
9006541,2924478464,24696061952
9012570,2924478464,24696061952
9018541,2925527040,24696061952
9024583,2925527040,24696061952
9030610,2840592384,24696061952
9036621,2857369600,24696061952
9042588,2944401408,24696061952
9048560,2878341120,24696061952
9054529,2879389696,24696061952
9060454,2918187008,24696061952
9066414,2922381312,24696061952
9072309,2923429888,24696061952
9078304,2928672768,24696061952
9084249,3067084800,24696061952
9090224,3069181952,24696061952
9096196,2932867072,24696061952
9102147,2932867072,24696061952
9108085,2933915648,24696061952
9114033,2933915648,24696061952
9119990,2933915648,24696061952
9125962,2933915648,24696061952
9131929,2933915648,24696061952
9137862,2933915648,24696061952
9143824,2934964224,24696061952
9149786,3071279104,24696061952
9155747,3005218816,24696061952
