timestamp_ms,bytes_read,bytes_written
6025256,4295908278272,961862422528
6031135,4300906926080,961862422528
6036986,4305545736192,962813566976
6042822,4310855536640,963428417536
6048662,4316406259712,963559424000
6054505,4322922573824,963559424000
6060394,4329025417216,963559424000
6066168,4336070692864,963559424000
6072011,4340636545024,964778795008
6077794,4346749681664,965489430528
6083631,4352889196544,966287982592
6089420,4359818018816,966554738688
6095244,4366864506880,966554738688
6101049,4372700925952,966554738688
6106801,4378540023808,966554738688
6112612,4384430534656,968259330048
6118457,4390999248896,969995689984
6124318,4396909617152,970498564096
6130132,4402980827136,970498564096
6135935,4409531260928,970498564096
6141788,4415620718592,970498564096
6147619,4421090279424,971422502912
6153393,4427717083136,971784663040
6159210,4433781669888,971784663040
6165056,4439294410752,971784663040
6170899,4445477789696,971784663040
6176717,4452105302016,971784663040
6182563,4456481075200,973033406464
6188429,4461642268672,973253455872
6194250,4467229085696,973253455872
6200092,4473633005568,973253455872
6205928,4479867707392,973253455872
6211733,4486463778816,973253455872
6217550,4493645631488,973253455872
6223378,4498637074432,974701772800
6229189,4505054195712,975465271296
6235014,4511351738368,976242384896
6240813,4517927096320,977032351744
6246611,4525342486528,977321259008
6252454,4531831775232,977321259008
6258220,4538690637824,977321259008
6264020,4545655209984,977321259008
6269887,4548252839936,977321259008
6275655,4554568220672,977321259008
6281440,4559868825600,978330595328
6287358,4564966412288,980124409856
6293263,4570640056320,981027647488
6299161,4576068567040,981156724736
6305018,4581780828160,981156724736
6310846,4587423150080,981156724736
6316625,4593539850240,981156724736
6322388,4600747483136,981156724736
6328238,4606329991168,982083473408
6334084,4612648419328,982083473408
6339917,4618018729984,982083473408
6345677,4623963676672,982083473408
6351443,4630408798208,982083473408
6357242,4637261504512,982083473408
6362992,4644361699328,982083473408
6368795,4650092867584,983105056768
6374667,4656668745728,983615619072
6380559,4661836992512,984019898368
6386427,4665596162048,984088780800
6392299,4670556647424,984088780800
6398158,4675370844160,984088780800
6404015,4679020605440,985126465536
6409880,4683892981760,986667073536
6415764,4688982306816,987629232128
6421586,4694668443648,988265844736
6427443,4699948015616,988265844736
6433273,4705784381440,988265844736
6439084,4710470565888,990300958720
6445023,4716305948672,991973748736
6450845,4722938531840,992768921600
6456660,4729540009984,992869916672
6462507,4735281418240,992869916672
6468349,4740953518080,992869916672
6474146,4747166478336,992869916672
6479969,4753443450880,993800105984
6485780,4758992674816,994208391168
6491654,4764651307008,994313625600
6497530,4769454022656,994313625600
6503395,4773655449600,995612639232
6509243,4778624950272,995612639232
6515146,4784358838272,995612639232
6520982,4790492860416,995612639232
6526859,4794371477504,997178507264
6532708,4799194738688,998038736896
6538501,4804255277056,998822326272
6544303,4810208714752,999176843264
6550133,4815078969344,1001509933056
6556035,4821326950400,1002928910336
6561908,4827391496192,1003435737088
6567739,4833200467968,1003532472320
6573583,4838391119872,1004385722368
6579408,4843438170112,1004385722368
6585243,4849198018560,1004385722368
6591083,4853711638528,1005199138816
6596948,4858802946048,1005903507456
6602851,4864153272320,1005907169280
6608698,4868097703936,1006720876544
6614574,4872915054592,1007715610624
6620431,4877936820224,1008461090816
6626286,4883411755008,1009253171200
6632175,4888157220864,1011469705216
6638078,4892779020288,1013213929472
6644022,4896393216000,1013720211456
6649880,4901494755328,1014006063104
6655756,4907646590976,1014006063104
6661573,4914036330496,1014006063104
6667414,4919523291136,1014907240448
6673184,4925892759552,1014971297792
6679029,4931541127168,1014971297792
6684810,4938254934016,1014971297792
6690659,4944546963456,1014971297792
6696494,4949345206272,1016210886656
6702327,4956253814784,1016639119360
6708259,4958934118400,1017058590720
6714070,4966068867072,1017173024768
6719877,4971303448576,1017173024768
6725677,4977099366400,1017173024768
6731446,4982498418688,1017514692608
6737387,4987358044160,1018940665856
6743205,4992526987264,1019672489984
6749007,4998566191104,1020280307712
6754872,5004669874176,1020280307712
6760691,5009842802688,1021608783872
6766526,5015665074176,1023204401152
6772380,5022274764800,1024011616256
6778197,5028759224320,1024185380864
6784011,5035123929088,1024185380864
6789860,5040248836096,1025235464192
6795722,5046477533184,1025674035200
6801608,5052090019840,1025918595072
6807517,5057649561600,1025918595072
6813354,5062535237632,1027210792960
6819255,5068468137984,1027216293888
6825112,5074457796608,1027216293888
6830936,5080004853760,1027249397760
6836802,5085134524416,1029036515328
6842637,5090911535104,1029823819776
6848467,5096670924800,1030600355840
6854294,5103024263168,1030600355840
6860115,5108790697984,1030600355840
6865953,5113832726528,1032813035520
6871778,5119975903232,1034244476928
6877626,5126274289664,1034694819840
6883443,5132208074752,1034809303040
6889271,5137330008064,1035719659520
6895147,5143258652672,1035722182656
6901043,5149076103168,1035722182656
6906896,5154946580480,1035930705920
6912855,5160475176960,1037530791936
6918772,5165965471744,1037887291392
6924655,5171758157824,1037887291392
6930495,5176227876864,1039035809792
6936333,5181513052160,1039848112128
6942189,5187135680512,1040634048512
6948004,5193449967616,1041034465280
6953785,5198942900224,1041308717056
6959686,5204123791360,1043472707584
6965525,5210144731136,1044636532736
6971351,5216361906176,1045085601792
6977276,5220775006208,1045264601088
6983135,5226501459968,1045959237632
6989038,5232596283392,1046453313536
6994883,5238573166592,1046883504128
7000740,5244090826752,1046991753216
7006567,5249396776960,1048148058112
7012391,5255041564672,1048336760832
7018238,5260195282944,1048336760832
7024082,5265465683968,1048824504320
7029974,5270370111488,1050092240896
7035783,5275635372032,1050859839488
7041674,5281068081152,1051617099776
7047464,5287420719104,1052452712448
7053301,5292308541440,1054520578048
7059117,5298790645760,1056077639680
7064953,5305078128640,1056824164352
7070778,5311089061888,1057263149056
7076591,5316497342464,1058299596800
7082498,5322637471744,1058391179264
7088328,5328245219328,1058391179264
7094182,5334062772224,1058391179264
7099998,5338932350976,1059770785792
7105879,5344539971584,1059865395200
7111766,5350043250688,1059865395200
7117620,5354360131584,1061413961728
7123427,5359415369728,1062146080768
7129235,5365188476928,1062968459264
7135077,5370951299072,1063754403840
7140926,5376112250880,1066118332416
7146798,5382137516032,1067878768640
7152640,5388162830336,1068327120896
7158583,5390381256704,1068723941376
7164407,5396530638848,1068858126336
7170274,5402382327808,1069803929600
7176073,5408218775552,1069803929600
7181925,5414090137600,1069803929600
7187736,5419171962880,1071002869760
7193537,5425246715904,1071002869760
7199375,5431571329024,1071002869760
7205196,5437597220864,1071163850752
7211088,5442686869504,1073213796352
7216945,5448442884096,1074523930624
7222757,5454624116736,1075246460928
7228612,5460554100736,1075246460928
7234442,5465853235200,1075464130560
7240346,5471131119616,1077823922176
7246137,5477638983680,1079026311168
7251957,5484059447296,1079139221504
7257757,5490637008896,1079139221504
7263557,5496584626176,1079139221504
7269433,5501603450880,1080170827776
7275232,5507669860352,1080208760832
7281089,5513025171456,1080208760832
7286938,5518387032064,1081060237312
7292760,5524291854336,1081760006144
7298613,5530084843520,1082182262784
7304463,5535542378496,1082405974016
7310318,5540069662720,1083942928384
7316131,5545241018368,1084727365632
7321972,5550589952000,1085511553024
7327881,5555728998400,1087004782592
7333805,5561417388032,1088781475840
7339636,5567132401664,1089993924608
7345466,5572816732160,1090511060992
7351319,5579178295296,1090511060992
7357160,5584041254912,1091430031360
7363023,5589670129664,1091430031360
7368853,5595549237248,1091430031360
7374692,5600272863232,1092659408896
7380629,5605700198400,1093023621120
7386521,5611785396224,1093023621120
7392351,5616655843328,1093023621120
7398198,5621048045568,1093766344704
7404089,5625611952128,1094843338752
7409934,5631065591808,1095576252416
7415764,5636309782528,1096313909248
7421606,5642594967552,1097149927424
7427466,5648188194816,1099659862016
7433393,5654187483136,1100610899968
7439241,5660872450048,1100983300096
7445122,5667515760640,1101003108352
7450942,5673074442240,1101820866560
7456814,5678783389696,1101938057216
7462689,5684304633856,1101938057216
7468558,5689808486400,1101938057216
7474380,5694596112384,1103296180224
7480327,5696403050496,1103603355648
7486205,5701358022656,1103603355648
7492065,5706786820096,1103603355648
7497896,5711394762752,1105200480256
7503682,5717004492800,1105945096192
7509538,5722160668672,1106767343616
7515332,5726758318080,1108740788224
7521223,5732487188480,1110212796416
7527102,5737576452096,1111094087680
7532976,5742723469312,1111094087680
7538803,5747194949632,1111898865664
7544690,5753540673536,1112040706048
7550464,5760163958784,1112040706048
7556273,5766357676032,1112040706048
7562091,5771627266048,1113064988672
7567986,5777023787008,1113297784832
7573834,5782142558208,1113297784832
7579738,5786594230272,1113297784832
7585569,5790997798912,1114622353408
7591410,5796066291712,1115418865664
7597312,5801565843456,1116224536576
7603114,5807407927296,1117008998400
7609000,5812705538048,1119215341568
7614898,5818606051328,1120865157120
7620786,5824666398720,1121275527168
7626625,5830633365504,1121581969408
7632462,5835696599040,1122429325312
7638316,5841179246592,1122490212352
7644138,5846692978688,1122490212352
7650041,5851946364928,1122500833280
7655872,5857005842432,1123936894976
7661769,5862359744512,1124231507968
